Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2019,2,Armidale Regional,Total,1 Bedroom,164,181,200,32.00,363.00,-4.61%,0.69%,-37.25%,-30.43%
2019,2,Armidale Regional,Total,Not Specified,-,-,-,-,178.00,-,-,-,-
2019,2,Armidale Regional,Total,2 Bedrooms,230,250,278,86.00,1080.00,-3.85%,-3.85%,-41.89%,-14.85%
2019,2,Armidale Regional,Total,3 Bedrooms,295,348,380,124.00,1184.00,2.21%,2.21%,-23.46%,25.25%
2019,2,Armidale Regional,Total,4 or more Bedrooms,365,420,473,60.00,538.00,0.00%,2.44%,-34.07%,5.26%
2019,2,Armidale Regional,House,Total,280,350,400,198.00,1807.00,2.94%,2.94%,-29.03%,11.24%
2019,2,Armidale Regional,House,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,House,1 Bedroom,134,168,200,s,68.00,8.06%,-1.47%,-45.45%,-20.00%
2019,2,Armidale Regional,House,Not Specified,-,-,-,-,46.00,-,-,-,-
2019,2,Armidale Regional,House,2 Bedrooms,230,250,285,s,213.00,-3.85%,-10.71%,-34.21%,0.00%
2019,2,Armidale Regional,House,3 Bedrooms,300,350,380,101.00,959.00,2.94%,2.94%,-22.31%,23.17%
2019,2,Armidale Regional,House,4 or more Bedrooms,368,420,475,59.00,520.00,0.00%,2.44%,-32.18%,5.36%
2019,2,Armidale Regional,Other,Total,-,-,-,-,208.00,-,-,-,-
2019,2,Armidale Regional,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,Other,1 Bedroom,-,-,-,-,48.00,-,-,-,-
2019,2,Armidale Regional,Other,Not Specified,-,-,-,-,81.00,-,-,-,-
2019,2,Armidale Regional,Other,2 Bedrooms,-,-,-,-,41.00,-,-,-,-
2019,2,Armidale Regional,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Armidale Regional,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,Townhouse,Total,-,-,-,-,72.00,-,-,-,-
2019,2,Armidale Regional,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Armidale Regional,Townhouse,3 Bedrooms,-,-,-,-,46.00,-,-,-,-
2019,2,Armidale Regional,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,Flat/Unit,Total,200,250,283,96.00,1263.00,0.00%,4.17%,-38.46%,-15.79%
2019,2,Armidale Regional,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Armidale Regional,Flat/Unit,1 Bedroom,175,188,200,s,246.00,-6.25%,-1.32%,-20.00%,-28.57%
2019,2,Armidale Regional,Flat/Unit,Not Specified,-,-,-,-,50.00,-,-,-,-
2019,2,Armidale Regional,Flat/Unit,2 Bedrooms,224,250,270,60.00,803.00,0.00%,-1.96%,-41.18%,-17.81%
2019,2,Armidale Regional,Flat/Unit,3 Bedrooms,300,320,373,s,152.00,-8.57%,-3.03%,-33.33%,23.08%
2019,2,Armidale Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Ballina,Total,Total,380,478,580,350.00,3787.00,-0.52%,6.11%,-0.57%,3.24%
2019,2,Ballina,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Ballina,Total,1 Bedroom,246,298,360,s,215.00,6.25%,14.42%,86.67%,40.00%
2019,2,Ballina,Total,Not Specified,-,-,-,-,196.00,-,-,-,-
2019,2,Ballina,Total,2 Bedrooms,340,380,420,107.00,1227.00,-2.56%,0.00%,-13.01%,-8.55%
2019,2,Ballina,Total,3 Bedrooms,450,500,580,128.00,1564.00,-3.85%,2.04%,-11.11%,-2.29%
2019,2,Ballina,Total,4 or more Bedrooms,580,625,660,77.00,580.00,4.17%,-0.79%,16.67%,26.23%
2019,2,Ballina,House,Total,490,573,650,152.00,1611.00,8.02%,4.09%,-11.11%,2.01%
2019,2,Ballina,House,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Ballina,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Ballina,House,Not Specified,-,-,-,-,55.00,-,-,-,-
2019,2,Ballina,House,2 Bedrooms,393,420,483,s,162.00,0.00%,1.20%,-36.84%,-14.29%
2019,2,Ballina,House,3 Bedrooms,475,520,600,67.00,865.00,0.00%,1.46%,-28.72%,-9.46%
2019,2,Ballina,House,4 or more Bedrooms,580,625,660,68.00,516.00,4.17%,-0.79%,19.30%,21.43%
2019,2,Ballina,Other,Total,269,380,541,32.00,432.00,-13.64%,-10.59%,23.08%,10.34%
2019,2,Ballina,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Ballina,Other,1 Bedroom,-,-,-,-,64.00,-,-,-,-
2019,2,Ballina,Other,Not Specified,-,-,-,-,85.00,-,-,-,-
2019,2,Ballina,Other,2 Bedrooms,-,-,-,-,123.00,-,-,-,-
2019,2,Ballina,Other,3 Bedrooms,-,-,-,-,134.00,-,-,-,-
2019,2,Ballina,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Ballina,Townhouse,Total,418,465,535,52.00,484.00,-11.43%,-1.06%,23.81%,6.12%
2019,2,Ballina,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Ballina,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Ballina,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Ballina,Townhouse,2 Bedrooms,371,415,466,s,153.00,0.00%,-1.19%,14.29%,-27.27%
2019,2,Ballina,Townhouse,3 Bedrooms,445,495,550,31.00,288.00,-10.00%,-11.61%,24.00%,34.78%
2019,2,Ballina,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Ballina,Flat/Unit,Total,340,370,430,114.00,1260.00,-2.63%,-0.67%,0.88%,1.79%
2019,2,Ballina,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Ballina,Flat/Unit,1 Bedroom,250,315,380,s,134.00,13.51%,16.67%,80.00%,38.46%
2019,2,Ballina,Flat/Unit,Not Specified,-,-,-,-,46.00,-,-,-,-
2019,2,Ballina,Flat/Unit,2 Bedrooms,329,360,400,70.00,789.00,-2.70%,2.86%,-14.63%,1.45%
2019,2,Ballina,Flat/Unit,3 Bedrooms,395,483,528,s,277.00,9.66%,6.04%,46.67%,-18.52%
2019,2,Ballina,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Balranald,Total,Total,-,-,-,-,114.00,-,-,-,-
2019,2,Balranald,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Total,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Total,2 Bedrooms,-,-,-,-,35.00,-,-,-,-
2019,2,Balranald,Total,3 Bedrooms,-,-,-,-,52.00,-,-,-,-
2019,2,Balranald,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Balranald,House,Total,-,-,-,-,67.00,-,-,-,-
2019,2,Balranald,House,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Balranald,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Balranald,House,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Balranald,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,House,3 Bedrooms,-,-,-,-,42.00,-,-,-,-
2019,2,Balranald,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Balranald,Other,Total,-,-,-,-,s,-,-,-,-
2019,2,Balranald,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Other,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Townhouse,Total,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Flat/Unit,Total,-,-,-,-,35.00,-,-,-,-
2019,2,Balranald,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Balranald,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Balranald,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bathurst Regional,Total,Total,278,330,390,399.00,4072.00,3.13%,3.13%,-6.56%,-5.90%
2019,2,Bathurst Regional,Total,Bedsitter,-,-,-,-,49.00,-,-,-,-
2019,2,Bathurst Regional,Total,1 Bedroom,190,215,240,s,310.00,7.50%,13.16%,-40.43%,-28.21%
2019,2,Bathurst Regional,Total,Not Specified,300,350,420,37.00,512.00,9.38%,16.67%,-15.91%,76.19%
2019,2,Bathurst Regional,Total,2 Bedrooms,250,280,310,103.00,1060.00,0.00%,3.70%,-5.50%,-12.71%
2019,2,Bathurst Regional,Total,3 Bedrooms,310,340,370,134.00,1362.00,0.00%,3.03%,0.75%,-11.84%
2019,2,Bathurst Regional,Total,4 or more Bedrooms,390,420,450,92.00,779.00,0.00%,0.00%,1.10%,0.00%
2019,2,Bathurst Regional,House,Total,310,370,420,253.00,2328.00,2.78%,5.71%,-2.69%,1.61%
2019,2,Bathurst Regional,House,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bathurst Regional,House,1 Bedroom,-,-,-,-,31.00,-,-,-,-
2019,2,Bathurst Regional,House,Not Specified,350,390,420,s,274.00,11.43%,20.93%,-22.22%,110.00%
2019,2,Bathurst Regional,House,2 Bedrooms,250,280,310,s,244.00,-3.45%,0.00%,-28.12%,-32.35%
2019,2,Bathurst Regional,House,3 Bedrooms,310,340,378,111.00,1039.00,-2.86%,0.00%,3.74%,-3.48%
2019,2,Bathurst Regional,House,4 or more Bedrooms,390,420,450,90.00,737.00,-1.18%,0.00%,4.65%,4.65%
2019,2,Bathurst Regional,Other,Total,238,300,341,s,341.00,-3.23%,11.11%,166.67%,-50.00%
2019,2,Bathurst Regional,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2019,2,Bathurst Regional,Other,1 Bedroom,-,-,-,-,32.00,-,-,-,-
2019,2,Bathurst Regional,Other,Not Specified,-,-,-,-,135.00,-,-,-,-
2019,2,Bathurst Regional,Other,2 Bedrooms,-,-,-,-,60.00,-,-,-,-
2019,2,Bathurst Regional,Other,3 Bedrooms,-,-,-,-,71.00,-,-,-,-
2019,2,Bathurst Regional,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Bathurst Regional,Townhouse,Total,310,330,350,s,226.00,4.76%,4.76%,-17.86%,-17.86%
2019,2,Bathurst Regional,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bathurst Regional,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
