Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2018,2,Tenterfield,Other,Total,-,-,-,-,32.00,-,-,-,-
2018,2,Tenterfield,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Tenterfield,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Tenterfield,Other,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Tenterfield,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Tenterfield,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Tenterfield,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Tenterfield,Flat/Unit,Total,-,-,-,-,90.00,-,-,-,-
2018,2,Tenterfield,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Tenterfield,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,2,Tenterfield,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Tenterfield,Flat/Unit,2 Bedrooms,-,-,-,-,45.00,-,-,-,-
2018,2,Tenterfield,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Tenterfield,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Tweed,Total,Total,370,450,550,614.00,7494.00,2.27%,5.88%,2.50%,-4.21%
2018,2,Tweed,Total,Bedsitter,-,-,-,-,32.00,-,-,-,-
2018,2,Tweed,Total,1 Bedroom,250,280,313,40.00,482.00,0.00%,0.00%,-13.04%,-21.57%
2018,2,Tweed,Total,Not Specified,295,440,520,s,552.00,-5.88%,-2.22%,-34.62%,-63.83%
2018,2,Tweed,Total,2 Bedrooms,340,380,430,204.00,2509.00,2.70%,5.56%,21.43%,9.09%
2018,2,Tweed,Total,3 Bedrooms,430,480,560,251.00,2832.00,2.13%,6.67%,3.72%,6.36%
2018,2,Tweed,Total,4 or more Bedrooms,520,600,695,102.00,1087.00,3.45%,3.45%,-11.30%,-13.56%
2018,2,Tweed,House,Total,450,520,621,268.00,2781.00,-5.45%,1.46%,13.08%,-2.90%
2018,2,Tweed,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Tweed,House,1 Bedroom,-,-,-,-,40.00,-,-,-,-
2018,2,Tweed,House,Not Specified,-,-,-,-,161.00,-,-,-,-
2018,2,Tweed,House,2 Bedrooms,360,383,419,s,243.00,0.66%,-3.16%,144.44%,37.50%
2018,2,Tweed,House,3 Bedrooms,450,500,580,141.00,1357.00,4.17%,8.70%,29.36%,18.49%
2018,2,Tweed,House,4 or more Bedrooms,534,620,699,94.00,979.00,3.33%,6.90%,-9.62%,-16.81%
2018,2,Tweed,Other,Total,318,400,488,s,817.00,-5.88%,0.00%,-31.43%,-57.14%
2018,2,Tweed,Other,Bedsitter,-,-,-,-,s,-,-,-,-
2018,2,Tweed,Other,1 Bedroom,-,-,-,-,105.00,-,-,-,-
2018,2,Tweed,Other,Not Specified,-,-,-,-,210.00,-,-,-,-
2018,2,Tweed,Other,2 Bedrooms,-,-,-,-,197.00,-,-,-,-
2018,2,Tweed,Other,3 Bedrooms,-,-,-,-,233.00,-,-,-,-
2018,2,Tweed,Other,4 or more Bedrooms,-,-,-,-,59.00,-,-,-,-
2018,2,Tweed,Townhouse,Total,400,450,500,85.00,1105.00,2.27%,5.88%,-19.05%,-5.56%
2018,2,Tweed,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Tweed,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,2,Tweed,Townhouse,Not Specified,-,-,-,-,41.00,-,-,-,-
2018,2,Tweed,Townhouse,2 Bedrooms,385,420,450,s,284.00,12.00%,8.39%,-11.54%,27.78%
2018,2,Tweed,Townhouse,3 Bedrooms,428,450,525,55.00,733.00,0.00%,4.65%,-19.12%,-15.38%
2018,2,Tweed,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Tweed,Flat/Unit,Total,330,380,450,237.00,2791.00,2.70%,8.57%,6.76%,8.22%
2018,2,Tweed,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2018,2,Tweed,Flat/Unit,1 Bedroom,260,280,305,s,317.00,0.00%,0.00%,-37.84%,-30.30%
2018,2,Tweed,Flat/Unit,Not Specified,-,-,-,-,140.00,-,-,-,-
2018,2,Tweed,Flat/Unit,2 Bedrooms,335,370,420,154.00,1785.00,1.37%,5.71%,27.27%,10.79%
2018,2,Tweed,Flat/Unit,3 Bedrooms,418,460,575,47.00,509.00,4.55%,6.98%,-11.32%,27.03%
2018,2,Tweed,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,Total,Total,230,280,335,99.00,862.00,-6.67%,2.75%,37.50%,26.92%
2018,2,Upper Hunter,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Total,1 Bedroom,-,-,-,-,64.00,-,-,-,-
2018,2,Upper Hunter,Total,Not Specified,-,-,-,-,43.00,-,-,-,-
2018,2,Upper Hunter,Total,2 Bedrooms,220,240,275,31.00,233.00,5.49%,14.29%,72.22%,72.22%
2018,2,Upper Hunter,Total,3 Bedrooms,250,300,350,48.00,374.00,0.00%,7.14%,37.14%,29.73%
2018,2,Upper Hunter,Total,4 or more Bedrooms,295,360,450,s,143.00,16.13%,16.13%,54.55%,0.00%
2018,2,Upper Hunter,House,Total,250,300,360,64.00,504.00,0.00%,0.00%,33.33%,33.33%
2018,2,Upper Hunter,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,House,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,House,2 Bedrooms,-,-,-,-,75.00,-,-,-,-
2018,2,Upper Hunter,House,3 Bedrooms,250,300,350,38.00,273.00,0.00%,3.45%,46.15%,52.00%
2018,2,Upper Hunter,House,4 or more Bedrooms,300,400,455,s,129.00,29.03%,33.33%,36.36%,0.00%
2018,2,Upper Hunter,Other,Total,-,-,-,-,93.00,-,-,-,-
2018,2,Upper Hunter,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Other,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,Townhouse,Total,230,260,300,s,32.00,-18.75%,,83.33%,
2018,2,Upper Hunter,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Hunter,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Flat/Unit,Total,220,250,295,s,233.00,11.11%,13.64%,64.29%,9.52%
2018,2,Upper Hunter,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Flat/Unit,1 Bedroom,-,-,-,-,45.00,-,-,-,-
2018,2,Upper Hunter,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Upper Hunter,Flat/Unit,2 Bedrooms,220,228,265,s,119.00,3.41%,16.67%,100.00%,40.00%
2018,2,Upper Hunter,Flat/Unit,3 Bedrooms,-,-,-,-,55.00,-,-,-,-
2018,2,Upper Hunter,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Total,Total,265,320,390,s,205.00,-12.33%,12.28%,125.00%,80.00%
2018,2,Upper Lachlan,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Total,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Upper Lachlan,Total,2 Bedrooms,-,-,-,-,48.00,-,-,-,-
2018,2,Upper Lachlan,Total,3 Bedrooms,-,-,-,-,92.00,-,-,-,-
2018,2,Upper Lachlan,Total,4 or more Bedrooms,-,-,-,-,41.00,-,-,-,-
2018,2,Upper Lachlan,House,Total,300,330,400,s,166.00,-13.16%,12.82%,90.91%,75.00%
2018,2,Upper Lachlan,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,House,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Upper Lachlan,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Lachlan,House,3 Bedrooms,-,-,-,-,87.00,-,-,-,-
2018,2,Upper Lachlan,House,4 or more Bedrooms,-,-,-,-,38.00,-,-,-,-
2018,2,Upper Lachlan,Other,Total,-,-,-,-,s,-,-,-,-
2018,2,Upper Lachlan,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Other,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Townhouse,Total,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Flat/Unit,Total,-,-,-,-,s,-,-,-,-
2018,2,Upper Lachlan,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Upper Lachlan,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Upper Lachlan,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Total,Total,200,250,298,42.00,340.00,-12.28%,1.01%,7.69%,40.00%
2018,2,Uralla,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,2,Uralla,Total,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Uralla,Total,2 Bedrooms,195,245,270,s,106.00,25.64%,13.95%,85.71%,30.00%
2018,2,Uralla,Total,3 Bedrooms,230,250,295,s,132.00,-15.97%,-12.28%,-13.64%,171.43%
2018,2,Uralla,Total,4 or more Bedrooms,-,-,-,-,55.00,-,-,-,-
2018,2,Uralla,House,Total,230,260,305,36.00,240.00,-11.86%,0.00%,24.14%,56.52%
2018,2,Uralla,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Uralla,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Uralla,House,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Uralla,House,2 Bedrooms,-,-,-,-,42.00,-,-,-,-
2018,2,Uralla,House,3 Bedrooms,230,250,295,s,125.00,-15.25%,-12.28%,-5.00%,216.67%
2018,2,Uralla,House,4 or more Bedrooms,-,-,-,-,54.00,-,-,-,-
2018,2,Uralla,Other,Total,-,-,-,-,s,-,-,-,-
2018,2,Uralla,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Other,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Townhouse,Total,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Flat/Unit,Total,-,-,-,-,79.00,-,-,-,-
2018,2,Uralla,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,2,Uralla,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Flat/Unit,2 Bedrooms,-,-,-,-,58.00,-,-,-,-
2018,2,Uralla,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Uralla,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,Total,Total,240,300,356,644.00,6374.00,-6.25%,0.00%,-26.40%,-5.29%
2018,2,Wagga Wagga,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2018,2,Wagga Wagga,Total,1 Bedroom,170,195,240,s,218.00,8.33%,0.00%,-47.92%,-32.43%
2018,2,Wagga Wagga,Total,Not Specified,300,340,351,s,661.00,7.94%,23.64%,85.71%,-60.61%
2018,2,Wagga Wagga,Total,2 Bedrooms,205,250,290,223.00,2070.00,-0.99%,0.00%,-16.17%,7.21%
2018,2,Wagga Wagga,Total,3 Bedrooms,280,320,360,274.00,2366.00,-5.88%,0.00%,-27.51%,0.37%
2018,2,Wagga Wagga,Total,4 or more Bedrooms,350,395,450,109.00,1044.00,-5.95%,-1.25%,-35.50%,-14.84%
2018,2,Wagga Wagga,House,Total,280,328,375,396.00,3461.00,-6.43%,-0.76%,-29.66%,0.51%
2018,2,Wagga Wagga,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,2,Wagga Wagga,House,Not Specified,-,-,-,-,129.00,-,-,-,-
2018,2,Wagga Wagga,House,2 Bedrooms,248,280,308,39.00,358.00,3.70%,4.67%,-50.00%,-7.14%
2018,2,Wagga Wagga,House,3 Bedrooms,280,320,350,245.00,1964.00,-4.48%,0.00%,-21.22%,12.90%
2018,2,Wagga Wagga,House,4 or more Bedrooms,350,395,450,103.00,979.00,-6.51%,-1.25%,-35.62%,-16.26%
2018,2,Wagga Wagga,Other,Total,200,260,340,41.00,795.00,1.96%,-13.04%,-21.15%,-19.61%
2018,2,Wagga Wagga,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,Other,1 Bedroom,-,-,-,-,39.00,-,-,-,-
2018,2,Wagga Wagga,Other,Not Specified,-,-,-,-,437.00,-,-,-,-
2018,2,Wagga Wagga,Other,2 Bedrooms,200,220,270,s,138.00,-12.00%,-13.73%,21.43%,142.86%
2018,2,Wagga Wagga,Other,3 Bedrooms,-,-,-,-,121.00,-,-,-,-
2018,2,Wagga Wagga,Other,4 or more Bedrooms,-,-,-,-,57.00,-,-,-,-
2018,2,Wagga Wagga,Townhouse,Total,273,320,375,s,231.00,-4.48%,1.59%,-32.50%,-20.59%
2018,2,Wagga Wagga,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,Townhouse,2 Bedrooms,259,305,350,s,112.00,-3.17%,1.67%,-15.79%,6.67%
2018,2,Wagga Wagga,Townhouse,3 Bedrooms,-,-,-,-,100.00,-,-,-,-
2018,2,Wagga Wagga,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,Flat/Unit,Total,200,240,285,180.00,1887.00,-4.00%,0.00%,-18.18%,-10.45%
2018,2,Wagga Wagga,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Wagga Wagga,Flat/Unit,1 Bedroom,180,200,270,s,147.00,14.29%,5.26%,-51.85%,-51.85%
2018,2,Wagga Wagga,Flat/Unit,Not Specified,-,-,-,-,85.00,-,-,-,-
2018,2,Wagga Wagga,Flat/Unit,2 Bedrooms,200,240,280,151.00,1462.00,-4.00%,1.05%,-2.58%,4.86%
2018,2,Wagga Wagga,Flat/Unit,3 Bedrooms,310,340,380,s,181.00,0.00%,7.09%,-56.25%,-46.15%
2018,2,Wagga Wagga,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Total,Total,200,220,240,s,105.00,0.00%,37.50%,30.77%,142.86%
2018,2,Walcha,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Total,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Total,2 Bedrooms,-,-,-,-,31.00,-,-,-,-
2018,2,Walcha,Total,3 Bedrooms,-,-,-,-,46.00,-,-,-,-
2018,2,Walcha,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Walcha,House,Total,200,220,240,s,73.00,-10.20%,-10.20%,62.50%,550.00%
2018,2,Walcha,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walcha,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walcha,House,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walcha,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Walcha,House,3 Bedrooms,-,-,-,-,44.00,-,-,-,-
2018,2,Walcha,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Walcha,Other,Total,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Other,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Townhouse,Total,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Flat/Unit,Total,-,-,-,-,s,-,-,-,-
2018,2,Walcha,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Walcha,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walcha,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Total,Total,180,220,250,s,235.00,4.76%,10.00%,-8.70%,-48.78%
2018,2,Walgett,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Total,1 Bedroom,-,-,-,-,38.00,-,-,-,-
2018,2,Walgett,Total,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Walgett,Total,2 Bedrooms,-,-,-,-,67.00,-,-,-,-
2018,2,Walgett,Total,3 Bedrooms,-,-,-,-,78.00,-,-,-,-
2018,2,Walgett,Total,4 or more Bedrooms,-,-,-,-,34.00,-,-,-,-
2018,2,Walgett,House,Total,190,225,250,s,149.00,-6.25%,2.27%,8.33%,-48.00%
2018,2,Walgett,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walgett,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walgett,House,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walgett,House,2 Bedrooms,-,-,-,-,31.00,-,-,-,-
2018,2,Walgett,House,3 Bedrooms,-,-,-,-,75.00,-,-,-,-
2018,2,Walgett,House,4 or more Bedrooms,-,-,-,-,31.00,-,-,-,-
2018,2,Walgett,Other,Total,-,-,-,-,s,-,-,-,-
2018,2,Walgett,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Other,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Townhouse,Total,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Flat/Unit,Total,-,-,-,-,72.00,-,-,-,-
2018,2,Walgett,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Flat/Unit,1 Bedroom,-,-,-,-,33.00,-,-,-,-
2018,2,Walgett,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Flat/Unit,2 Bedrooms,-,-,-,-,33.00,-,-,-,-
2018,2,Walgett,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Walgett,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Total,Total,158,210,281,s,145.00,5.00%,40.00%,-54.29%,-11.11%
2018,2,Warren,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Warren,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,2,Warren,Total,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Warren,Total,2 Bedrooms,-,-,-,-,38.00,-,-,-,-
2018,2,Warren,Total,3 Bedrooms,-,-,-,-,58.00,-,-,-,-
2018,2,Warren,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Warren,House,Total,-,-,-,-,83.00,-,-,-,-
2018,2,Warren,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Warren,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Warren,House,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Warren,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Warren,House,3 Bedrooms,-,-,-,-,47.00,-,-,-,-
2018,2,Warren,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Warren,Other,Total,-,-,-,-,s,-,-,-,-
2018,2,Warren,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Warren,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Warren,Other,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Warren,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Townhouse,Total,-,-,-,-,-,-,-,-,-
2018,2,Warren,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Warren,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Warren,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Warren,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Flat/Unit,Total,-,-,-,-,44.00,-,-,-,-
2018,2,Warren,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Warren,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
2018,2,Warren,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Warren,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
2018,2,Warren,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warren,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2018,2,Warrumbungle,Total,Total,183,205,240,50.00,428.00,-11.83%,-3.53%,38.89%,19.05%
2018,2,Warrumbungle,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Warrumbungle,Total,1 Bedroom,-,-,-,-,32.00,-,-,-,-
2018,2,Warrumbungle,Total,Not Specified,-,-,-,-,s,-,-,-,-
2018,2,Warrumbungle,Total,2 Bedrooms,-,-,-,-,124.00,-,-,-,-
2018,2,Warrumbungle,Total,3 Bedrooms,190,210,230,s,184.00,-11.58%,-4.55%,27.27%,12.00%
2018,2,Warrumbungle,Total,4 or more Bedrooms,-,-,-,-,69.00,-,-,-,-
2018,2,Warrumbungle,House,Total,195,210,240,41.00,308.00,-11.58%,-6.67%,28.13%,20.59%
2018,2,Warrumbungle,House,Bedsitter,-,-,-,-,-,-,-,-,-
2018,2,Warrumbungle,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2018,2,Warrumbungle,House,Not Specified,-,-,-,-,-,-,-,-,-
2018,2,Warrumbungle,House,2 Bedrooms,-,-,-,-,66.00,-,-,-,-
2018,2,Warrumbungle,House,3 Bedrooms,190,210,230,s,169.00,-11.58%,-4.55%,22.73%,8.00%
2018,2,Warrumbungle,House,4 or more Bedrooms,-,-,-,-,61.00,-,-,-,-
