Year,Quarter,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2018.00,4.00,Total,Total,290.00,400.00,550.00,443.00,7916.00,-0.02,0.00,0.00,-0.20
2018.00,4.00,Total,Non Strata,294.00,411.00,560.00,452.00,6801.00,-0.02,-0.02,0.01,-0.20
2018.00,4.00,Total,Strata,275.00,355.00,465.00,388.00,1115.00,-0.02,0.01,-0.01,-0.22
2018.00,4.00,Albury,Total,240.00,308.00,420.00,345.00,258.00,0.04,-0.04,0.09,-0.19
2018.00,4.00,Albury,Non Strata,275.00,360.00,443.00,377.00,211.00,0.06,0.08,0.15,-0.18
2018.00,4.00,Albury,Strata,160.00,212.00,230.00,199.00,47.00,0.03,-0.10,-0.13,-0.20
2018.00,4.00,Armidale Regional,Total,275.00,348.00,445.00,371.00,129.00,0.07,0.02,0.59,0.00
2018.00,4.00,Armidale Regional,Non Strata,290.00,355.00,461.00,388.00,116.00,0.04,0.03,0.61,0.05
2018.00,4.00,Armidale Regional,Strata,175.00,199.00,245.00,218.00,s,-0.22,-0.20,0.44,-0.28
2018.00,4.00,Ballina,Total,490.00,600.00,735.00,649.00,175.00,-0.08,0.01,-0.10,-0.10
2018.00,4.00,Ballina,Non Strata,545.00,660.00,848.00,726.00,115.00,-0.05,0.03,-0.08,-0.13
2018.00,4.00,Ballina,Strata,394.00,465.00,595.00,503.00,60.00,-0.09,0.08,-0.13,-0.05
2018.00,4.00,Balranald,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Balranald,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Balranald,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bathurst Regional,Total,350.00,439.00,513.00,446.00,180.00,0.00,0.10,0.02,-0.19
2018.00,4.00,Bathurst Regional,Non Strata,374.00,452.00,540.00,461.00,164.00,0.02,0.10,0.01,-0.18
2018.00,4.00,Bathurst Regional,Strata,269.00,308.00,330.00,292.00,s,0.01,0.03,0.14,-0.30
2018.00,4.00,Bega Valley,Total,340.00,465.00,600.00,476.00,179.00,0.03,0.11,-0.10,-0.22
2018.00,4.00,Bega Valley,Non Strata,401.00,499.00,654.00,525.00,126.00,0.00,0.01,-0.11,-0.25
2018.00,4.00,Bega Valley,Strata,285.00,320.00,420.00,359.00,53.00,0.00,0.11,-0.07,-0.15
2018.00,4.00,Bellingen,Total,398.00,495.00,655.00,512.00,47.00,-0.03,-0.04,-0.02,-0.19
2018.00,4.00,Bellingen,Non Strata,420.00,544.00,660.00,526.00,44.00,0.02,0.06,-0.04,-0.24
2018.00,4.00,Bellingen,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Berrigan,Total,139.00,222.00,284.00,223.00,38.00,-0.16,-0.13,-0.07,0.06
2018.00,4.00,Berrigan,Non Strata,139.00,222.00,284.00,223.00,38.00,-0.18,-0.13,0.00,0.06
2018.00,4.00,Berrigan,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bland,Total,93.00,150.00,247.00,175.00,s,-0.13,-0.06,0.10,0.10
2018.00,4.00,Bland,Non Strata,93.00,150.00,247.00,175.00,s,-0.13,-0.06,0.10,0.10
2018.00,4.00,Bland,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Blayney,Total,264.00,344.00,416.00,371.00,s,0.23,-0.10,-0.04,-0.45
2018.00,4.00,Blayney,Non Strata,264.00,344.00,416.00,371.00,s,0.23,-0.10,-0.04,-0.45
2018.00,4.00,Blayney,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bogan,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bogan,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bogan,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bourke,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bourke,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Bourke,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Brewarrina,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Brewarrina,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Brewarrina,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Broken Hill,Total,79.00,133.00,187.00,138.00,80.00,0.20,0.46,0.07,-0.18
2018.00,4.00,Broken Hill,Non Strata,79.00,133.00,187.00,138.00,80.00,0.20,0.46,0.07,-0.18
2018.00,4.00,Broken Hill,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Byron,Total,700.00,875.00,1103.00,982.00,123.00,-0.07,0.04,-0.15,-0.35
2018.00,4.00,Byron,Non Strata,735.00,910.00,1260.00,1045.00,90.00,-0.13,0.01,-0.19,-0.33
2018.00,4.00,Byron,Strata,655.00,740.00,980.00,810.00,33.00,0.06,0.08,0.00,-0.39
2018.00,4.00,Cabonne,Total,264.00,340.00,496.00,396.00,36.00,0.21,0.00,0.24,-0.33
2018.00,4.00,Cabonne,Non Strata,264.00,340.00,496.00,396.00,36.00,0.21,0.00,0.24,-0.33
2018.00,4.00,Cabonne,Strata,655.00,740.00,980.00,810.00,33.00,0.06,0.08,0.00,-0.39
2018.00,4.00,Carrathool,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Carrathool,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Carrathool,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Clarence Valley,Total,290.00,369.00,465.00,387.00,253.00,-0.10,0.00,0.06,-0.15
2018.00,4.00,Clarence Valley,Non Strata,291.00,373.00,470.00,393.00,222.00,-0.09,-0.01,0.01,-0.15
2018.00,4.00,Clarence Valley,Strata,285.00,339.00,405.00,339.00,31.00,-0.16,-0.04,0.55,-0.14
2018.00,4.00,Cobar,Total,154.00,194.00,250.00,199.00,s,0.27,0.23,-0.33,-0.43
2018.00,4.00,Cobar,Non Strata,154.00,194.00,250.00,199.00,s,0.27,0.23,-0.33,-0.43
2018.00,4.00,Cobar,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coffs Harbour,Total,405.00,499.00,630.00,517.00,315.00,0.01,0.04,-0.01,-0.23
2018.00,4.00,Coffs Harbour,Non Strata,455.00,550.00,660.00,567.00,225.00,0.04,0.04,0.00,-0.21
2018.00,4.00,Coffs Harbour,Strata,300.00,367.00,459.00,394.00,90.00,0.01,0.05,-0.03,-0.27
2018.00,4.00,Coolamon,Total,187.00,248.00,317.00,273.00,s,0.16,0.38,2.83,-0.15
2018.00,4.00,Coolamon,Non Strata,187.00,248.00,317.00,273.00,s,0.16,0.38,2.83,-0.15
2018.00,4.00,Coolamon,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coonamble,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coonamble,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Coonamble,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Gundagai,Total,184.00,225.00,311.00,253.00,47.00,-0.10,0.00,-0.04,-0.06
2018.00,4.00,Gundagai,Non Strata,184.00,225.00,311.00,253.00,47.00,-0.10,0.00,-0.04,-0.06
2018.00,4.00,Gundagai,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Cowra,Total,228.00,288.00,382.00,301.00,52.00,0.11,0.11,0.06,-0.13
2018.00,4.00,Cowra,Non Strata,214.00,285.00,375.00,297.00,47.00,0.10,0.10,-0.04,-0.22
2018.00,4.00,Cowra,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Western Plains Regional,Total,270.00,345.00,425.00,353.00,213.00,0.01,0.01,0.00,-0.19
2018.00,4.00,Western Plains Regional,Non Strata,270.00,349.00,430.00,355.00,208.00,0.01,0.01,-0.02,-0.18
2018.00,4.00,Western Plains Regional,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Dungog,Total,315.00,415.00,590.00,460.00,33.00,-0.08,-0.22,0.14,-0.37
2018.00,4.00,Dungog,Non Strata,315.00,415.00,590.00,460.00,33.00,-0.08,-0.22,0.14,-0.37
2018.00,4.00,Dungog,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Edward River,Total,131.00,188.00,286.00,206.00,42.00,-0.19,-0.14,0.17,0.24
2018.00,4.00,Edward River,Non Strata,135.00,190.00,286.00,209.00,41.00,-0.18,-0.13,0.14,0.21
2018.00,4.00,Edward River,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Eurobodalla,Total,384.00,479.00,600.00,507.00,228.00,0.01,0.08,-0.07,-0.28
2018.00,4.00,Eurobodalla,Non Strata,427.00,516.00,650.00,554.00,176.00,0.03,0.09,-0.14,-0.29
2018.00,4.00,Eurobodalla,Strata,273.00,347.00,430.00,349.00,52.00,0.09,-0.01,0.24,-0.27
2018.00,4.00,Federation,Total,208.00,258.00,325.00,263.00,67.00,0.04,-0.02,0.18,-0.14
2018.00,4.00,Federation,Non Strata,219.00,267.00,329.00,270.00,56.00,-0.02,0.00,0.22,-0.15
2018.00,4.00,Federation,Strata,171.00,210.00,260.00,228.00,s,0.00,0.01,0.00,-0.08
2018.00,4.00,Forbes,Total,185.00,270.00,358.00,281.00,49.00,-0.08,-0.02,1.33,0.29
2018.00,4.00,Forbes,Non Strata,185.00,270.00,358.00,281.00,49.00,-0.08,-0.02,1.33,0.29
2018.00,4.00,Forbes,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Gilgandra,Total,101.00,170.00,240.00,190.00,s,0.34,0.06,0.10,-0.35
2018.00,4.00,Gilgandra,Non Strata,101.00,170.00,240.00,190.00,s,0.34,0.06,0.10,-0.35
2018.00,4.00,Gilgandra,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Glen Innes Severn,Total,160.00,210.00,278.00,233.00,s,0.00,0.06,-0.29,-0.06
2018.00,4.00,Glen Innes Severn,Non Strata,160.00,210.00,278.00,233.00,s,0.00,0.06,-0.29,-0.06
2018.00,4.00,Glen Innes Severn,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Goulburn Mulwaree,Total,347.00,408.00,526.00,448.00,112.00,-0.05,0.01,-0.08,-0.34
2018.00,4.00,Goulburn Mulwaree,Non Strata,349.00,410.00,527.00,450.00,111.00,-0.09,-0.02,0.05,-0.23
2018.00,4.00,Goulburn Mulwaree,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Greater Hume Shire,Total,169.00,240.00,325.00,256.00,46.00,0.19,-0.11,0.28,0.24
2018.00,4.00,Greater Hume Shire,Non Strata,169.00,240.00,325.00,256.00,46.00,0.19,-0.11,0.28,0.24
2018.00,4.00,Greater Hume Shire,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Griffith,Total,281.00,345.00,424.00,353.00,106.00,0.04,0.04,0.16,-0.13
2018.00,4.00,Griffith,Non Strata,289.00,350.00,425.00,357.00,101.00,0.06,0.04,0.35,-0.13
2018.00,4.00,Griffith,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Gunnedah,Total,231.00,315.00,411.00,324.00,47.00,-0.13,0.01,-0.06,-0.27
2018.00,4.00,Gunnedah,Non Strata,231.00,315.00,411.00,324.00,47.00,-0.03,0.00,0.02,-0.23
2018.00,4.00,Gunnedah,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Gwydir,Total,135.00,169.00,239.00,191.00,s,-0.20,-0.13,-0.14,0.00
2018.00,4.00,Gwydir,Non Strata,135.00,169.00,239.00,191.00,s,-0.20,-0.13,-0.14,0.00
2018.00,4.00,Gwydir,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Hay,Total,110.00,120.00,166.00,136.00,s,-0.11,-0.29,0.08,0.75
2018.00,4.00,Hay,Non Strata,110.00,120.00,166.00,136.00,s,-0.11,-0.29,0.08,0.75
2018.00,4.00,Hay,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Hilltops,Total,204.00,270.00,348.00,285.00,79.00,0.17,0.01,0.01,-0.06
2018.00,4.00,Hilltops,Non Strata,204.00,270.00,348.00,285.00,79.00,0.15,0.00,0.07,-0.04
2018.00,4.00,Hilltops,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Inverell,Total,180.00,261.00,335.00,272.00,56.00,0.02,-0.01,0.02,-0.25
2018.00,4.00,Inverell,Non Strata,180.00,261.00,335.00,272.00,56.00,0.02,-0.01,0.02,-0.25
2018.00,4.00,Inverell,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Junee,Total,210.00,247.00,297.00,262.00,s,-0.03,0.09,-0.13,-0.28
2018.00,4.00,Junee,Non Strata,210.00,247.00,297.00,262.00,s,-0.03,0.09,-0.13,-0.28
2018.00,4.00,Junee,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Kempsey,Total,283.00,340.00,455.00,369.00,121.00,-0.12,0.03,-0.08,-0.26
2018.00,4.00,Kempsey,Non Strata,286.00,348.00,455.00,374.00,110.00,-0.11,0.01,-0.08,-0.24
2018.00,4.00,Kempsey,Strata,237.00,270.00,338.00,318.00,s,-0.18,-0.06,-0.15,-0.45
2018.00,4.00,Kyogle,Total,301.00,350.00,445.00,389.00,40.00,0.06,0.17,-0.18,-0.15
2018.00,4.00,Kyogle,Non Strata,301.00,350.00,445.00,389.00,40.00,0.06,0.17,-0.18,-0.15
2018.00,4.00,Kyogle,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Lachlan,Total,130.00,188.00,242.00,194.00,s,0.20,0.07,0.21,-0.11
2018.00,4.00,Lachlan,Non Strata,130.00,188.00,242.00,194.00,s,0.20,0.07,0.21,-0.11
2018.00,4.00,Lachlan,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Leeton,Total,170.00,219.00,325.00,251.00,60.00,-0.23,0.00,0.76,0.09
2018.00,4.00,Leeton,Non Strata,170.00,223.00,341.00,255.00,54.00,-0.23,-0.05,0.64,0.02
2018.00,4.00,Leeton,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Lismore,Total,345.00,410.00,515.00,436.00,182.00,-0.03,0.08,-0.07,-0.24
2018.00,4.00,Lismore,Non Strata,350.00,415.00,529.00,449.00,159.00,-0.03,0.02,-0.11,-0.24
2018.00,4.00,Lismore,Strata,281.00,321.00,404.00,343.00,s,0.25,0.16,0.28,-0.23
2018.00,4.00,Lithgow,Total,289.00,338.00,452.00,402.00,80.00,-0.01,0.02,-0.12,-0.19
2018.00,4.00,Lithgow,Non Strata,286.00,329.00,430.00,370.00,75.00,-0.03,-0.01,-0.14,-0.23
2018.00,4.00,Lithgow,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Liverpool Plains,Total,170.00,235.00,325.00,268.00,s,0.22,0.06,-0.43,-0.43
2018.00,4.00,Liverpool Plains,Non Strata,170.00,235.00,325.00,268.00,s,0.22,0.06,-0.43,-0.43
2018.00,4.00,Liverpool Plains,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Lockhart,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Lockhart,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Lockhart,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Mid-Coast,Total,310.00,410.00,523.00,429.00,448.00,-0.02,-0.04,-0.09,-0.30
2018.00,4.00,Mid-Coast,Non Strata,315.00,420.00,545.00,445.00,357.00,-0.05,-0.06,-0.13,-0.30
2018.00,4.00,Mid-Coast,Strata,290.00,350.00,448.00,367.00,91.00,-0.01,0.01,0.10,-0.32
2018.00,4.00,Mid-Western Regional,Total,290.00,370.00,470.00,390.00,145.00,-0.05,-0.01,0.16,-0.06
2018.00,4.00,Mid-Western Regional,Non Strata,300.00,375.00,478.00,397.00,137.00,-0.05,-0.03,0.16,-0.08
2018.00,4.00,Mid-Western Regional,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Moree Plains,Total,162.00,300.00,366.00,263.00,33.00,0.67,0.34,0.10,-0.23
2018.00,4.00,Moree Plains,Non Strata,162.00,300.00,366.00,263.00,33.00,0.67,0.34,0.10,-0.23
2018.00,4.00,Moree Plains,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Murray River,Total,179.00,284.00,404.00,305.00,62.00,-0.18,-0.15,0.07,0.00
2018.00,4.00,Murray River,Non Strata,203.00,320.00,423.00,329.00,51.00,-0.07,-0.10,-0.06,-0.09
2018.00,4.00,Murray River,Strata,175.00,178.00,224.00,196.00,s,-0.45,-0.40,1.75,0.83
2018.00,4.00,Murrumbidgee,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Murrumbidgee,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Murrumbidgee,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Muswellbrook,Total,260.00,302.00,359.00,308.00,63.00,0.00,-0.03,-0.17,-0.22
2018.00,4.00,Muswellbrook,Non Strata,260.00,310.00,363.00,312.00,60.00,0.01,0.00,-0.17,-0.20
2018.00,4.00,Muswellbrook,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Nambucca,Total,338.00,388.00,474.00,405.00,96.00,-0.05,0.05,0.25,0.10
2018.00,4.00,Nambucca,Non Strata,344.00,400.00,475.00,411.00,89.00,-0.05,0.02,0.24,0.17
2018.00,4.00,Nambucca,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Narrabri,Total,131.00,253.00,394.00,259.00,38.00,-0.11,-0.11,-0.07,0.03
2018.00,4.00,Narrabri,Non Strata,131.00,253.00,394.00,259.00,38.00,-0.05,-0.11,0.06,0.03
2018.00,4.00,Narrabri,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Narrandera,Total,143.00,195.00,276.00,212.00,32.00,-0.08,0.28,-0.11,0.28
2018.00,4.00,Narrandera,Non Strata,143.00,195.00,276.00,212.00,32.00,-0.08,0.28,-0.11,0.28
2018.00,4.00,Narrandera,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Narromine,Total,213.00,243.00,340.00,286.00,s,0.11,0.20,0.60,-0.25
2018.00,4.00,Narromine,Non Strata,213.00,243.00,340.00,286.00,s,0.11,0.20,0.60,-0.25
2018.00,4.00,Narromine,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Oberon,Total,285.00,408.00,446.00,386.00,s,0.01,-0.14,0.11,-0.23
2018.00,4.00,Oberon,Non Strata,285.00,408.00,446.00,386.00,s,0.01,-0.14,0.11,-0.23
2018.00,4.00,Oberon,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Orange,Total,345.00,415.00,510.00,436.00,197.00,0.11,0.07,0.02,-0.27
2018.00,4.00,Orange,Non Strata,355.00,430.00,523.00,449.00,181.00,0.10,0.08,0.06,-0.28
2018.00,4.00,Orange,Strata,238.00,274.00,296.00,287.00,s,0.00,0.22,-0.30,-0.11
2018.00,4.00,Parkes,Total,195.00,255.00,347.00,272.00,97.00,0.00,0.05,0.43,0.31
2018.00,4.00,Parkes,Non Strata,194.00,255.00,359.00,271.00,91.00,0.00,0.05,0.34,0.23
2018.00,4.00,Parkes,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Port Macquarie-Hastings,Total,425.00,523.00,630.00,545.00,343.00,-0.01,0.01,-0.13,-0.25
2018.00,4.00,Port Macquarie-Hastings,Non Strata,485.00,565.00,663.00,586.00,263.00,0.02,0.02,-0.13,-0.23
2018.00,4.00,Port Macquarie-Hastings,Strata,350.00,390.00,439.00,413.00,80.00,-0.01,0.00,-0.15,-0.30
2018.00,4.00,Queanbeyan-Palerang Regional,Total,403.00,538.00,710.00,567.00,275.00,0.00,0.01,0.10,-0.22
2018.00,4.00,Queanbeyan-Palerang Regional,Non Strata,538.00,650.00,785.00,680.00,185.00,0.00,0.00,0.12,-0.21
2018.00,4.00,Queanbeyan-Palerang Regional,Strata,256.00,345.00,409.00,335.00,90.00,0.10,0.05,0.05,-0.23
2018.00,4.00,Richmond Valley,Total,285.00,330.00,470.00,387.00,95.00,0.01,0.03,0.06,-0.14
2018.00,4.00,Richmond Valley,Non Strata,285.00,330.00,475.00,389.00,87.00,0.01,0.03,0.19,-0.16
2018.00,4.00,Richmond Valley,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Shoalhaven,Total,445.00,540.00,695.00,579.00,432.00,-0.02,-0.02,-0.05,-0.28
2018.00,4.00,Shoalhaven,Non Strata,450.00,550.00,700.00,594.00,396.00,-0.04,-0.03,-0.04,-0.29
2018.00,4.00,Shoalhaven,Strata,344.00,445.00,469.00,417.00,36.00,0.02,0.02,-0.12,-0.22
2018.00,4.00,Singleton,Total,339.00,410.00,559.00,449.00,106.00,-0.02,0.07,-0.09,-0.27
2018.00,4.00,Singleton,Non Strata,358.00,425.00,570.00,472.00,95.00,-0.04,0.05,-0.11,-0.29
2018.00,4.00,Singleton,Strata,208.00,250.00,310.00,255.00,s,-0.08,-0.08,0.10,-0.08
2018.00,4.00,Snowy Monaro Regional,Total,271.00,380.00,500.00,410.00,113.00,0.17,0.17,0.31,-0.08
2018.00,4.00,Snowy Monaro Regional,Non Strata,265.00,375.00,530.00,408.00,87.00,0.17,0.15,0.21,-0.10
2018.00,4.00,Snowy Monaro Regional,Strata,320.00,385.00,498.00,416.00,s,0.01,0.25,0.86,0.00
2018.00,4.00,Snowy Valleys,Total,179.00,238.00,325.00,261.00,72.00,0.01,0.02,0.22,0.22
2018.00,4.00,Snowy Valleys,Non Strata,179.00,238.00,325.00,261.00,72.00,-0.01,0.02,0.26,0.24
2018.00,4.00,Snowy Valleys,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Tamworth Regional,Total,261.00,330.00,429.00,346.00,234.00,-0.03,-0.06,-0.06,-0.19
2018.00,4.00,Tamworth Regional,Non Strata,270.00,342.00,440.00,356.00,213.00,0.00,-0.05,-0.09,-0.22
2018.00,4.00,Tamworth Regional,Strata,200.00,224.00,282.00,238.00,s,-0.17,0.11,0.31,0.17
2018.00,4.00,Temora,Total,230.00,335.00,363.00,313.00,s,0.42,0.45,0.23,-0.21
2018.00,4.00,Temora,Non Strata,230.00,335.00,363.00,313.00,s,0.42,0.45,0.23,-0.21
2018.00,4.00,Temora,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Tenterfield,Total,210.00,258.00,411.00,292.00,32.00,0.14,0.02,-0.11,0.00
2018.00,4.00,Tenterfield,Non Strata,195.00,250.00,311.00,264.00,s,0.11,-0.01,-0.28,-0.19
2018.00,4.00,Tenterfield,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Tweed,Total,441.00,585.00,738.00,608.00,431.00,0.04,0.04,-0.13,-0.22
2018.00,4.00,Tweed,Non Strata,565.00,666.00,813.00,702.00,260.00,0.00,0.02,-0.17,-0.21
2018.00,4.00,Tweed,Strata,360.00,426.00,553.00,465.00,171.00,0.02,0.00,-0.06,-0.24
2018.00,4.00,Upper Hunter Shire,Total,239.00,280.00,453.00,338.00,55.00,-0.16,-0.12,-0.11,-0.24
2018.00,4.00,Upper Hunter Shire,Non Strata,240.00,305.00,469.00,345.00,52.00,-0.08,-0.04,-0.16,-0.28
2018.00,4.00,Upper Hunter Shire,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Upper Lachlan Shire,Total,288.00,350.00,513.00,539.00,34.00,-0.03,-0.25,0.36,-0.08
2018.00,4.00,Upper Lachlan Shire,Non Strata,288.00,350.00,513.00,539.00,34.00,-0.03,-0.25,0.36,-0.08
2018.00,4.00,Upper Lachlan Shire,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Uralla,Total,273.00,383.00,483.00,384.00,s,0.25,0.21,-0.22,-0.42
2018.00,4.00,Uralla,Non Strata,273.00,383.00,483.00,384.00,s,0.25,0.21,-0.22,-0.42
2018.00,4.00,Uralla,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Wagga Wagga,Total,289.00,360.00,460.00,381.00,323.00,0.03,0.07,0.25,-0.06
2018.00,4.00,Wagga Wagga,Non Strata,310.00,371.00,460.00,391.00,292.00,0.02,0.09,0.26,-0.08
2018.00,4.00,Wagga Wagga,Strata,218.00,265.00,294.00,288.00,31.00,0.00,0.05,0.19,0.11
2018.00,4.00,Walcha,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Walcha,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Walcha,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Walgett,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Walgett,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Walgett,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Warren,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Warren,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Warren,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Warrumbungle Shire,Total,115.00,154.00,204.00,160.00,36.00,-0.10,-0.10,0.71,0.00
2018.00,4.00,Warrumbungle Shire,Non Strata,115.00,154.00,204.00,160.00,36.00,-0.10,-0.10,0.71,0.00
2018.00,4.00,Warrumbungle Shire,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Weddin,Total,-,-,-,-,-,-,-,-,-
2018.00,4.00,Weddin,Non Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Weddin,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Wentworth,Total,151.00,245.00,320.00,249.00,s,-0.10,-0.11,-0.13,0.13
2018.00,4.00,Wentworth,Non Strata,151.00,245.00,320.00,249.00,s,-0.10,-0.16,-0.10,0.17
2018.00,4.00,Wentworth,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Wingecarribee,Total,620.00,775.00,1043.00,911.00,196.00,-0.03,-0.06,-0.03,-0.37
2018.00,4.00,Wingecarribee,Non Strata,630.00,800.00,1105.00,940.00,177.00,-0.02,-0.05,-0.02,-0.37
2018.00,4.00,Wingecarribee,Strata,520.00,610.00,765.00,637.00,s,-0.15,-0.07,-0.14,-0.41
2018.00,4.00,Yass Valley,Total,408.00,555.00,783.00,610.00,68.00,0.12,-0.11,0.48,-0.21
2018.00,4.00,Yass Valley,Non Strata,408.00,555.00,783.00,610.00,68.00,0.10,-0.11,0.51,-0.21
2018.00,4.00,Yass Valley,Strata,-,-,-,-,-,-,-,-,-
2018.00,4.00,Total,Total,800.00,1140.00,1700.00,1478.00,2918.00,-0.03,-0.09,-0.04,-0.22
2018.00,4.00,Total,Non Strata,1360.00,1803.00,2576.00,2321.00,964.00,-0.10,-0.14,-0.01,-0.24
2018.00,4.00,Total,Strata,718.00,900.00,1231.00,1062.00,1954.00,-0.03,-0.07,-0.05,-0.21
2018.00,4.00,Inner West,Total,780.00,1118.00,1443.00,1164.00,584.00,-0.04,-0.13,-0.10,-0.24
2018.00,4.00,Inner West,Non Strata,1200.00,1380.00,1685.00,1458.00,331.00,-0.06,-0.10,0.01,-0.24
2018.00,4.00,Inner West,Strata,630.00,738.00,870.00,780.00,253.00,-0.04,-0.07,-0.22,-0.24
2018.00,4.00,Lane Cove,Total,690.00,867.00,1859.00,1364.00,162.00,-0.07,-0.24,-0.03,-0.35
2018.00,4.00,Lane Cove,Non Strata,2020.00,2650.00,3106.00,2585.00,50.00,0.20,-0.05,-0.14,-0.49
2018.00,4.00,Lane Cove,Strata,654.00,745.00,876.00,820.00,112.00,-0.01,-0.07,0.03,-0.25
2018.00,4.00,Mosman,Total,848.00,1465.00,2825.00,2329.00,132.00,-0.28,-0.13,0.35,-0.21
